reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
6517985a-303c-452a-a28b-547e7e7b25f5,Eddy Supriyanto,https://play-lh.googleusercontent.com/a/ACg8ocICr0oiFgO6YALS8K8i_3IZdeNW_tpt4NqJDHXXx1Hrtrr3AQ=mo,good aplikasinya membantu sekali untuk transper uang.,5,0,2.55.0,2024-05-05 21:07:05,"Makasih buat review nya, kalo ada keluhan hubungi Layanan Asisten Digital, caranya:
-Keluhan transaksi:Buka App DANA, pilih History/Riwayat, pilih transaksi yg mau dilaporin, klik CHAT.
-Keluhan akun premium: Buka App DANA, pilih Me/Saya, Klik alasan gagal, klik CHAT",2024-05-05 21:08:20,2.55.0
6ca58bdc-e90f-4b87-964c-fa63283a92ff,Mainda Suaemu,https://play-lh.googleusercontent.com/a/ACg8ocIm1Xrkd253xn2GjZ-grkUi2B6wn17PWWO263E1yfz8pjpn=mo,Sangat membantu,5,3,2.55.0,2024-05-03 17:55:35,"Makasih buat review nya, kalo ada keluhan hubungi Layanan Asisten Digital, caranya:
-Keluhan transaksi:Buka App DANA, pilih History/Riwayat, pilih transaksi yg mau dilaporin, klik CHAT.
-Keluhan akun premium: Buka App DANA, pilih Me/Saya, Klik alasan gagal, klik CHAT",2024-05-03 17:56:23,2.55.0
532c6a46-3cb1-4998-b6f2-66ae19e34a63,Rizki Febrian,https://play-lh.googleusercontent.com/a-/ALV-UjV-epKxJYEV3vNZOFREmZ48YGNo4PcQN5v8xFxAGzqq63Y3m9k,saldo saya hilang 575.000 sampe sekarang gaada penanganan yg serius,1,5,,2024-05-02 17:46:19,"Hi Kak Rizku, Kami infoin DANA tdk pernah mengambil saldo pengguna DANA karena kami dibawah pengawasan BI ya. Harap berhati2 dgn modus penipuan yg terjadi, jgn prnh kasih kode OTP, PIN. Terkait trnsksi tidak dikenal, Jika udh ada no laporannya yuk infoin di DM sosmed resmi kami. Thx-NL-",2024-05-02 18:47:51,
64900f3f-5148-496a-bc21-d5fba9dbd8fe,Atalla Nanda,https://play-lh.googleusercontent.com/a-/ALV-UjUPipsKZxKTnwuZv7UPqXiEoQJXefz6yFMRKWp9rUf-u91KUAC_,"Terakhir kalinya ini saya pakai aplikasi payah ini!, sistem lemot! Ga lagi lagi deh pke dana! Saldo berkurang tetapi transaksi tidak masuk sama sekali, payah sangat payah!",1,2,2.55.0,2024-05-02 02:37:45,"Hi Kak Atalla, maaf atas kendala yg dialami. Kami akan terus meningkatkan kualitas kami ya Kak. Terkait saldo yg sdh terpotong namun transaksi km blm masuk. Agar kmi bantu, yuk hub DIANA:
1. Buka aplikasi DANA
2. Masuk ke menu Aktivitas/Activity
3. Pilih Transaksi yang kamu ingin laporkan
4. Klik menu CHAT
Thanks -EF-",2024-05-03 07:59:09,2.55.0
41a0c5dc-3d41-4357-9daa-c81e01765d27,Arfan Kurniawan,https://play-lh.googleusercontent.com/a/ACg8ocKpmKesgJld-jaZx51fRXXIdftzqlOa21l0MZjOabxDWPMYJw=mo,Bagus,5,1,2.55.0,2024-05-01 22:07:10,"Makasih buat review nya, jangan lupa ajak temen kamu buat pakai DANA juga, kalo ada keluhan hubungi Layanan Asisten Digital, caranya:
-Untuk keluhan transaksi:Buka App DANA, pilih History/Riwayat, pilih transaksi yg mau dilaporin, klik CHAT.
-Untuk keluhan akun premium: Buka App DANA, pilih Me/Saya, Klik alasan gagal, klik CHAT",2024-05-01 22:08:23,2.55.0
5420f34e-d6b1-4070-ba4f-4e15e891fc91,Hermanhuta gaol Hutagaol123,https://play-lh.googleusercontent.com/a/ACg8ocLgLzTw_cfu_wXQnwDYf_CKrb2qiSn5LU0oFRB3tmRSu7jL7Q=mo,Oke mntap,4,0,2.55.0,2024-05-01 18:28:00,"Makasih udah pilih DANA sebagai pembayaran digital Kamu, kalo ada keluhan hubungi Layanan Asisten Digital, caranya:
-Keluhan transaksi:Buka App DANA, pilih History/Riwayat, pilih transaksi yg mau dilaporin, klik CHAT.
-Keluhan akun premium: Buka App DANA, pilih Me/Saya, Klik alasan gagal, klik CHAT",2024-05-01 18:28:22,2.55.0
b933628f-117f-4bdd-95f3-922f4ce1c9ee,Tenza Zangetsu,https://play-lh.googleusercontent.com/a/ACg8ocLTKRfB52f7shgYPi2zyF_ZT5r0iTIuA7UaKD0RXOnXg44_4g=mo,Kenapa ya pin dana ini kek ubah sendiri ada masalah kah kalau ada masalah tumbuk yok ajg,1,1,,2024-05-01 15:39:53,"Hi Kak, kamu jgn khawatir yah. Utk keluhan PIN DANA, yuk hub Asisten Digital DIANA untuk membuat tiket laporan kamu. Caranya:
1. Buka apps DANA​
2. Masuk ke menu Me/Saya​
3. Klik ""DIANA siap membantu""
Thanks -PF-",2024-05-02 08:46:15,
e0eaa5af-f311-4e6f-a780-6ba86967e834,Yoyos Yp,https://play-lh.googleusercontent.com/a/ACg8ocKWn7x-Q7tPb-ja_aMrtWpYsAhsfgZRL1A5LLIpAuccF0k88Q=mo,"Apk ngak jelas, saldo dana hilang terus complain ke operator malah ngebot Mulu Saya hanya minta kejelasan kenapa dana saya bisa kebobolan tanpa persetujuan untuk transaksi yg saya sendiri tidak gunakan",1,7,2.55.0,2024-05-01 03:54:20,"Hi Kak, kami turut prihatin atas kejadian yg dialami. DANA merupakan aplikasi yg aman karena diawasi Bank Indonesia. Pengambilalihan akun DANA bisa terjadi karena memberikan PIN, OTP, & klik link yg tdk dikenal. Untuk keluhan saldo yg hilang, yuk hubungi kembali Asisten Digital DIANA hingga terhubung ke customer service kami ya. Thx -FA-",2024-05-01 04:06:58,2.55.0
9ff87d77-2622-4086-8e5a-a8dd99cfab86,Hidayah,https://play-lh.googleusercontent.com/a/ACg8ocK57IaRPGnWNNGX3XQIqx9KCDQPiAIwDELy3BvgnzgG9-2ABQ=mo,mantap pakai dana,5,0,2.55.0,2024-05-01 02:58:57,"Thanks buat review nya, jika ada keluhan hub Asisten Digital, caranya:
-Keluhan transaksi:Buka App DANA, pilih History/Riwayat, pilih transaksi yg mau dilaporin, klik CHAT.
-Keluhan akun premium: Buka App DANA, pilih Me/Saya, Klik alasan gagal, klik CHAT",2024-05-01 03:00:24,2.55.0
930e396b-8157-45ab-9c81-aa6b2c43f34d,So Lihin,https://play-lh.googleusercontent.com/a/ACg8ocJ4CmxhMu0YKhoRjQDYiXK0UUD3uhFfETZminEY2YLL_nh_q6lj=mo,Transaksi cepat dan akurat,4,1,2.55.0,2024-05-01 02:53:50,"Makasih buat review nya, kalo ada keluhan hubungi Layanan Asisten Digital, caranya:
-Keluhan transaksi:Buka App DANA, pilih History/Riwayat, pilih transaksi yg mau dilaporin, klik CHAT.
-Keluhan akun premium: Buka App DANA, pilih Me/Saya, Klik alasan gagal, klik CHAT",2024-05-01 02:54:24,2.55.0
